feature,family,paired_d,frac_fake_higher,abs_d
rich_latent_accel_middle,rich_latent_geometry,-0.7763100088089833,0.21666666666666667,0.7763100088089833
rich_latent_accel_auc,rich_latent_geometry,-0.7755138197090022,0.2,0.7755138197090022
rich_score_relchange_t4,rich_score_dynamics,0.7541071450039716,0.8333333333333334,0.7541071450039716
rich_score_relchange_late,rich_score_dynamics,0.7541071450039716,0.8333333333333334,0.7541071450039716
rich_score_relchange_min,rich_score_dynamics,0.7541071450039716,0.8333333333333334,0.7541071450039716
rich_latent_accel_t2,rich_latent_geometry,-0.7512331893116405,0.18333333333333332,0.7512331893116405
rich_score_secondchange_mean,rich_score_dynamics,-0.7247151871955504,0.18333333333333332,0.7247151871955504
rich_score_secondchange_auc,rich_score_dynamics,-0.7216138167139898,0.2,0.7216138167139898
rich_score_secondchange_middle,rich_score_dynamics,-0.702637825732377,0.25,0.702637825732377
rich_score_secondchange_t2,rich_score_dynamics,-0.702637825732377,0.25,0.702637825732377
rich_latent_accel_mean,rich_latent_geometry,-0.6875780327354952,0.26666666666666666,0.6875780327354952
rich_latent_accel_t1,rich_latent_geometry,-0.6658337191955482,0.21666666666666667,0.6658337191955482
rich_score_secondchange_early,rich_score_dynamics,-0.6406338805103011,0.21666666666666667,0.6406338805103011
rich_score_secondchange_t1,rich_score_dynamics,-0.6403149656503021,0.2,0.6403149656503021
rich_latent_accel_early,rich_latent_geometry,-0.6251310956380942,0.25,0.6251310956380942
rich_score_change_middle,rich_score_dynamics,-0.6140375800453625,0.2833333333333333,0.6140375800453625
rich_latent_t2_pr,rich_latent_typicality,-0.6046417260946646,0.2833333333333333,0.6046417260946646
rich_score_consecutive_cos_middle,rich_score_dynamics,0.5981278024370448,0.7333333333333333,0.5981278024370448
rich_latent_t1_pr,rich_latent_typicality,-0.5971315644291453,0.26666666666666666,0.5971315644291453
rich_latent_t0_pr,rich_latent_typicality,-0.5969038656653916,0.26666666666666666,0.5969038656653916
rich_latent_accel_t3,rich_latent_geometry,-0.5930393685723652,0.23333333333333334,0.5930393685723652
rich_score_angle_middle,rich_score_dynamics,-0.5916696006050643,0.2833333333333333,0.5916696006050643
rich_score_consecutive_cos_t4,rich_score_dynamics,-0.5785639200564575,0.3333333333333333,0.5785639200564575
rich_score_crosscos_4_5,rich_crosstime,-0.5785639200564575,0.3333333333333333,0.5785639200564575
rich_score_consecutive_cos_late,rich_score_dynamics,-0.5785639200564575,0.3333333333333333,0.5785639200564575
rich_score_consecutive_cos_max,rich_score_dynamics,-0.5747262137687116,0.3333333333333333,0.5747262137687116
rich_score_change_auc,rich_score_dynamics,-0.5628348892249599,0.26666666666666666,0.5628348892249599
rich_latent_t3_pr,rich_latent_typicality,-0.5588702638973613,0.31666666666666665,0.5588702638973613
rich_latent_t5_q75,rich_latent_typicality,-0.5440655852129117,0.3,0.5440655852129117
rich_score_consecutive_cos_auc,rich_score_dynamics,0.5400016529566666,0.7833333333333333,0.5400016529566666
rich_score_change_t3,rich_score_dynamics,-0.538392086396295,0.2833333333333333,0.538392086396295
rich_score_change_late,rich_score_dynamics,0.5370247564019083,0.7,0.5370247564019083
rich_score_change_t4,rich_score_dynamics,0.5370247564019083,0.7,0.5370247564019083
rich_score_change_min,rich_score_dynamics,0.5332246622992476,0.7,0.5332246622992476
rich_score_angle_auc,rich_score_dynamics,-0.5309951925934142,0.25,0.5309951925934142
rich_score_change_mean,rich_score_dynamics,-0.5252390207354004,0.3333333333333333,0.5252390207354004
rich_score_angle_late,rich_score_dynamics,0.5217042405342366,0.6666666666666666,0.5217042405342366
rich_score_angle_t4,rich_score_dynamics,0.5217042405342366,0.6666666666666666,0.5217042405342366
rich_score_change_early,rich_score_dynamics,-0.5195450632414472,0.31666666666666665,0.5195450632414472
rich_score_angle_min,rich_score_dynamics,0.5184023398347123,0.6666666666666666,0.5184023398347123
rich_latent_t4_q75,rich_latent_typicality,-0.5153678749930138,0.3333333333333333,0.5153678749930138
rich_latent_turn_angle_early,rich_latent_geometry,-0.5052064790089816,0.26666666666666666,0.5052064790089816
rich_score_crosscos_2_3,rich_crosstime,0.49695066861456844,0.75,0.49695066861456844
rich_score_consecutive_cos_t2,rich_score_dynamics,0.49695066861456844,0.75,0.49695066861456844
rich_score_angle_t2,rich_score_dynamics,-0.4910369504504337,0.25,0.4910369504504337
rich_score_change_t2,rich_score_dynamics,-0.4892400694786298,0.25,0.4892400694786298
rich_latent_turn_cos_early,rich_latent_geometry,0.48652073106459126,0.7666666666666667,0.48652073106459126
rich_score_t4_q05,rich_score_moments,0.48520780747312164,0.6666666666666666,0.48520780747312164
rich_latent_t3_kurtosis,rich_latent_typicality,0.4846969339955192,0.6833333333333333,0.4846969339955192
rich_cond_dz_orthfrac_std,rich_alignment,0.4821418714255288,0.75,0.4821418714255288
rich_latent_accel_slope,rich_latent_geometry,0.47821485518355583,0.7,0.47821485518355583
rich_score_cumulative_angle,rich_score_dynamics,-0.4773777295993779,0.2833333333333333,0.4773777295993779
rich_score_angle_mean,rich_score_dynamics,-0.4773777295843919,0.2833333333333333,0.4773777295843919
rich_cond_dz_orthfrac_slope,rich_alignment,0.4767508344757089,0.6666666666666666,0.4767508344757089
rich_latent_turn_angle_t1,rich_latent_geometry,-0.4759482798503268,0.31666666666666665,0.4759482798503268
rich_latent_turn_cos_t1,rich_latent_geometry,0.47562607214501096,0.6833333333333333,0.47562607214501096
rich_dz_crosscos_1_2,rich_crosstime,0.47562607214501096,0.6833333333333333,0.47562607214501096
rich_score_change_slope,rich_score_dynamics,0.4710007232371131,0.6666666666666666,0.4710007232371131
rich_latent_t2_kurtosis,rich_latent_typicality,0.4691541828266464,0.75,0.4691541828266464
rich_score_consecutive_cos_mean,rich_score_dynamics,0.46592187969537074,0.75,0.46592187969537074
rich_score_t0_maxabs,rich_score_moments,0.4619142086589532,0.6833333333333333,0.4619142086589532
rich_score_crosscos_3_4,rich_crosstime,0.46048208538445723,0.6166666666666667,0.46048208538445723
rich_score_consecutive_cos_t3,rich_score_dynamics,0.46048208538445723,0.6166666666666667,0.46048208538445723
rich_score_change_t1,rich_score_dynamics,-0.4593294986254221,0.2833333333333333,0.4593294986254221
eps_t4,legacy_noise,-0.4572885740859974,0.31666666666666665,0.4572885740859974
rich_score_norm_t4,rich_score_dynamics,-0.4572884882511957,0.31666666666666665,0.4572884882511957
rich_score_t4_rms,rich_score_moments,-0.4572884882511957,0.31666666666666665,0.4572884882511957
rich_score_consecutive_cos_t1,rich_score_dynamics,0.4555087650420686,0.7166666666666667,0.4555087650420686
rich_score_crosscos_1_2,rich_crosstime,0.4555087650420686,0.7166666666666667,0.4555087650420686
rich_score_t4_var,rich_score_moments,-0.45300550275530416,0.31666666666666665,0.45300550275530416
rich_score_angle_early,rich_score_dynamics,-0.452756664274285,0.25,0.452756664274285
rich_score_t2_fft_mid,rich_score_fft,0.4510424858141505,0.7333333333333333,0.4510424858141505
rich_latent_turn_cos_middle,rich_latent_geometry,0.4494683077549653,0.7333333333333333,0.4494683077549653
rich_score_secondchange_t0,rich_score_dynamics,-0.44846622870209374,0.3333333333333333,0.44846622870209374
rich_score_secondchange_max,rich_score_dynamics,-0.44846622870209374,0.3333333333333333,0.44846622870209374
rich_score_t2_fft_high,rich_score_fft,-0.44825308128674896,0.3,0.44825308128674896
rich_score_angle_t1,rich_score_dynamics,-0.4453221730237263,0.2833333333333333,0.4453221730237263
rich_latent_t4_absmean,rich_latent_typicality,-0.4429992270219851,0.2833333333333333,0.4429992270219851
rich_latent_t5_q95,rich_latent_typicality,-0.44193960006270083,0.31666666666666665,0.44193960006270083
rich_latent_t4_pr,rich_latent_typicality,-0.43815617580876254,0.35,0.43815617580876254
rich_score_norm_auc,rich_score_dynamics,-0.4377020121297113,0.31666666666666665,0.4377020121297113
eps_auc,legacy_noise,-0.43770199468020693,0.31666666666666665,0.43770199468020693
rich_latent_accel_max,rich_latent_geometry,-0.436229568510072,0.2833333333333333,0.436229568510072
rich_latent_accel_t0,rich_latent_geometry,-0.436229568510072,0.2833333333333333,0.436229568510072
rich_latent_turn_cos_t2,rich_latent_geometry,0.4355872229384789,0.6666666666666666,0.4355872229384789
rich_dz_crosscos_2_3,rich_crosstime,0.4355872229384789,0.6666666666666666,0.4355872229384789
rich_latent_step_std,rich_latent_geometry,-0.43477207334760576,0.31666666666666665,0.43477207334760576
rich_score_t3_q05,rich_score_moments,0.432066575887568,0.6666666666666666,0.432066575887568
rich_latent_step_t1,rich_latent_geometry,-0.431573087254864,0.2833333333333333,0.431573087254864
speed_max,legacy_geometry,-0.431573087254864,0.2833333333333333,0.431573087254864
